file	internal_links	external_links	tax_link_count	related_blog_link_count	has_related_section
blog/1031-exchange-vs-itemized-deductions.html	25	0	1	4	False
blog/1031-exchange-vs-standard-deduction.html	25	0	1	4	False
blog/13-income-streams-built-by-30.html	24	6	1	1	False
blog/2-deals-10000-month-profit.html	27	0	1	5	False
blog/2000-profit-full-time-it-guy.html	27	0	1	5	False
blog/212k-year-10-minutes-week.html	27	0	1	5	False
blog/2500-per-unit-13-properties.html	27	0	1	5	False
blog/4-percent-rule.html	23	0	1	3	False
blog/401k-rollover-guide.html	23	0	1	3	False
blog/401k-strategy-for-beginners.html	28	0	1	8	False
blog/401k-strategy-for-early-retirees.html	28	0	1	7	False
blog/401k-strategy-for-government-employees.html	25	0	1	5	False
blog/401k-strategy-for-high-earners.html	26	0	1	6	False
blog/401k-strategy-for-high-income-families.html	27	0	1	6	False
blog/401k-strategy-for-married-couples.html	29	0	1	7	False
blog/401k-strategy-for-pre-retirees.html	28	0	1	7	False
blog/401k-strategy-for-recession.html	28	0	1	7	False
blog/401k-strategy-for-self-employed.html	26	0	1	5	False
blog/401k-strategy-for-small-business-owners.html	26	0	1	6	False
blog/401k-strategy-tax-implications.html	29	0	1	8	False
blog/401k-strategy-vs-bond-ladders.html	26	0	1	5	False
blog/401k-strategy-vs-cash-bucket-strategy.html	26	0	1	6	False
blog/401k-strategy-vs-pension-options.html	27	0	1	5	False
blog/401k-strategy-vs-taxable-brokerage.html	29	0	1	7	True
blog/457b-plan-guide.html	23	0	1	3	False
blog/6000-cash-flow-no-experience.html	27	0	1	5	False
blog/7k-month-3-properties-full-time.html	29	0	1	7	False
blog/airbnb-arbitrage-84-days-9-steps-guide.html	26	0	1	4	False
blog/airbnb-arbitrage-dead-bridge-method-2025.html	25	0	1	3	False
blog/airbnb-arbitrage-tax-implications.html	27	0	1	6	False
blog/airbnb-automation-tax-implications.html	26	0	1	5	False
blog/airbnb-cash-flow-calculator.html	27	0	1	6	False
blog/airbnb-cash-flow-tax-implications.html	26	0	1	5	False
blog/airbnb-cash-flow-vs-notes-investing.html	26	0	1	5	False
blog/airbnb-landlord-pitch-tax-implications.html	26	0	1	6	False
blog/airbnb-occupancy-strategy-for-beginners.html	27	0	1	6	False
blog/airbnb-occupancy-strategy-for-full-time-employees.html	26	0	1	5	False
blog/airbnb-occupancy-strategy-for-hosts.html	27	0	1	5	False
blog/airbnb-occupancy-strategy-for-operators.html	27	0	1	6	False
blog/airbnb-occupancy-strategy-for-real-estate-investors.html	26	0	1	5	False
blog/airbnb-occupancy-strategy-tax-implications.html	26	0	1	6	False
blog/airbnb-pricing-strategy-for-beginners.html	28	0	1	7	False
blog/airbnb-pricing-strategy-for-full-time-employees.html	26	0	1	6	False
blog/airbnb-pricing-strategy-for-hosts.html	26	0	1	5	False
blog/airbnb-pricing-strategy-for-operators.html	27	0	1	6	False
blog/airbnb-pricing-strategy-for-real-estate-investors.html	28	0	1	7	False
blog/airbnb-pricing-strategy-for-side-hustlers.html	26	0	1	5	False
blog/airbnb-pricing-strategy-tax-implications.html	27	0	1	5	False
blog/airbnb-pricing-strategy-vs-direct-booking.html	26	0	1	5	False
blog/airbnb-pricing-strategy-vs-mid-term-rentals.html	26	0	1	5	False
blog/airbnb-startup-cost-tax-deductible.html	27	0	1	5	False
blog/airbnb-startup-costs-capital-breakdown.html	25	0	1	3	False
blog/airbnb-startup-costs-tax-implications.html	27	0	1	6	False
blog/airbnb-taxes-for-beginners.html	25	0	1	4	False
blog/airbnb-taxes-for-full-time-employees.html	27	0	1	5	False
blog/airbnb-taxes-for-guests.html	25	0	1	3	False
blog/airbnb-taxes-for-hosts.html	26	0	1	5	False
blog/airbnb-taxes-for-operators.html	28	0	1	7	False
blog/airbnb-taxes-for-real-estate-investors.html	26	0	1	5	False
blog/airbnb-taxes-for-side-hustlers.html	27	0	1	6	False
blog/airbnb-taxes-vs-co-hosting.html	27	0	1	6	False
blog/airbnb-taxes-vs-long-term-rentals.html	27	0	1	7	False
blog/airbnb-taxes-vs-property-management.html	26	0	1	5	False
blog/alternative-investments-guide.html	23	0	1	3	False
blog/andrew-2500-airbnb-mexico-remote.html	27	0	1	5	False
blog/annuities-vs-bonds-tax-implications.html	27	0	1	7	False
